 NUMERO DE PATAMARES
 XX
  3
ANO   DURACAO MENSAL DOS PATAMARES DE CARGA
      JAN     FEV     MAR     ABR     MAI     JUN     JUL     AGO     SET     OUT     NOV     DEZ   
      X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX
 SUBSISTEMA
 XXX
    ANO                       CARGA(P.U.DEMANDA MED.)
   XXXX X.XXXX X.XXXX X.XXXX X.XXXX X.XXXX X.XXXX X.XXXX X.XXXX X.XXXX X.XXXX X.XXXX X.XXXX
   1
   2021 1.1572 1.1492 1.1442 1.1570 1.1614 1.1571 1.1542 1.1572 1.1573 1.1591 1.1589 1.1353
        1.0727 1.0689 1.0760 1.0796 1.0545 1.0516 1.0499 1.0514 1.0844 1.0822 1.0853 1.0726
        0.8998 0.8973 0.8797 0.8774 0.8600 0.8567 0.8563 0.8533 0.8658 0.8808 0.8875 0.8864
   2022 1.1540 1.1436 1.1497 1.1612 1.1546 1.1571 1.1612 1.1502 1.1568 1.1589 1.1589 1.1356
        1.0706 1.0650 1.0797 1.0830 1.0481 1.0516 1.0568 1.0451 1.0842 1.0829 1.0853 1.0728
        0.8946 0.8935 0.8835 0.8824 0.8568 0.8567 0.8592 0.8502 0.8662 0.8806 0.8875 0.8941
   2023 1.1475 1.1492 1.1433 1.1686 1.1539 1.1567 1.1619 1.1496 1.1603 1.1557 1.1589 1.1471
        1.0658 1.0689 1.0753 1.0883 1.0480 1.0514 1.0570 1.0447 1.0874 1.0806 1.0853 1.0814
        0.8923 0.8973 0.8806 0.8851 0.8574 0.8571 0.8586 0.8509 0.8721 0.8748 0.8875 0.8996
   2024 1.1471 1.1473 1.1602 1.1445 1.1600 1.1639 1.1518 1.1525 1.1614 1.1452 1.1589 1.1451
        1.0652 1.0679 1.0860 1.0706 1.0541 1.0581 1.0447 1.0498 1.0868 1.0733 1.0853 1.0802
        0.8928 0.8961 0.8920 0.8709 0.8612 0.8604 0.8490 0.8577 0.8622 0.8667 0.8875 0.8935
   2025 1.1467 1.1436 1.1606 1.1570 1.1570 1.1648 1.1513 1.1595 1.1502 1.1413 1.1589 1.1397
        1.0647 1.0650 1.0865 1.0794 1.0531 1.0587 1.0446 1.0566 1.0798 1.0711 1.0853 1.0758
        0.8933 0.8935 0.8916 0.8775 0.8638 0.8595 0.8495 0.8605 0.8627 0.8704 0.8875 0.8905
   2026 1.1467 1.1436 1.1606 1.1570 1.1570 1.1648 1.1513 1.1595 1.1502 1.1413 1.1589 1.1397
        1.0647 1.0650 1.0865 1.0794 1.0531 1.0587 1.0446 1.0566 1.0798 1.0711 1.0853 1.0758
        0.8933 0.8935 0.8916 0.8775 0.8638 0.8595 0.8495 0.8605 0.8627 0.8704 0.8875 0.8905
   2027 1.1467 1.1436 1.1606 1.1570 1.1570 1.1648 1.1513 1.1595 1.1502 1.1413 1.1589 1.1397
        1.0647 1.0650 1.0865 1.0794 1.0531 1.0587 1.0446 1.0566 1.0798 1.0711 1.0853 1.0758
        0.8933 0.8935 0.8916 0.8775 0.8638 0.8595 0.8495 0.8605 0.8627 0.8704 0.8875 0.8905
   2028 1.1467 1.1436 1.1606 1.1570 1.1570 1.1648 1.1513 1.1595 1.1502 1.1413 1.1589 1.1397
        1.0647 1.0650 1.0865 1.0794 1.0531 1.0587 1.0446 1.0566 1.0798 1.0711 1.0853 1.0758
        0.8933 0.8935 0.8916 0.8775 0.8638 0.8595 0.8495 0.8605 0.8627 0.8704 0.8875 0.8905
