 PATAMAR DE DEFICIT
 NUMERO DE PATAMARES DE DEFICIT
 XXX
   1
 CUSTO DO DEFICIT
 NUM|NOME SSIS.|    CUSTO DE DEFICIT POR PATAMAR  | P.U. CORTE POR PATAMAR|
 XXX|XXXXXXXXXX|  |XXXX.XX XXXX.XX XXXX.XX XXXX.XX|X.XXX X.XXX X.XXX X.XXX|
 1   SUDESTE     0 6524.05 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000 
 2   SUL         0 6524.05 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000 
 3   NORDESTE    0 6524.05 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000 
 4   NORTE       0 6524.05 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000 
 11  NOFICT1     1
 999
 LIMITES DE INTERCAMBIO
 A   B   A->B    B->A
 XXX XXX XJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1   2
2032     5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000. 
2033     5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000. 
2034     5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000. 
2035     5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000. 
2036     5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000. 

2021     3706.   3706.   3706.   3706.   2868.   3506.   3706.   3706.   3706.   3706.   3365.   3365. 
2022     4665.   4665.   4665.   4665.   5006.   5006.   5006.   5006.   5006.   5006.   4665.   4665. 
2023     4665.   4665.   4665.   4665.   5006.   5006.   5006.   5006.   5006.   5006.   4665.   4665. 
2024     4665.   4665.   4665.   4665.   5006.   5006.   5006.   5006.   5006.   5006.   4665.   4665. 
2025     4665.   4665.   4665.   4665.   5006.   5006.   5006.   5006.   5006.   5006.   4665.   4665. 
2026     4665.   4665.   4665.   4665.   5006.   5006.   5006.   5006.   5006.   5006.   4665.   4665. 
2027     4665.   4665.   4665.   4665.   5006.   5006.   5006.   5006.   5006.   5006.   4665.   4665. 
2028     4665.   4665.   4665.   4665.   5006.   5006.   5006.   5006.   5006.   5006.   4665.   4665. 
2029     4665.   4665.   4665.   4665.   5006.   5006.   5006.   5006.   5006.   5006.   4665.   4665. 
2030     4665.   4665.   4665.   4665.   5006.   5006.   5006.   5006.   5006.   5006.   4665.   4665. 
2031     4665.   4665.   4665.   4665.   5006.   5006.   5006.   5006.   5006.   5006.   4665.   4665. 
2032     4665.   4665.   4665.   4665.   5006.   5006.   5006.   5006.   5006.   5006.   4665.   4665. 
2033     4665.   4665.   4665.   4665.   5006.   5006.   5006.   5006.   5006.   5006.   4665.   4665. 
2034     4665.   4665.   4665.   4665.   5006.   5006.   5006.   5006.   5006.   5006.   4665.   4665. 
2035     4665.   4665.   4665.   4665.   5006.   5006.   5006.   5006.   5006.   5006.   4665.   4665. 
2036     4665.   4665.   4665.   4665.   5006.   5006.   5006.   5006.   5006.   5006.   4665.   4665. 
   3  11               0
2021     4500.   4500.   4500.   4500.   4500.   4500.   4500.   4500.   4500.   4500.   4500.   4500. 
2022     6000.   6000.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800. 
2023     6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800. 
2024     6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800. 
2025     6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800. 
2026     6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800. 
2027     6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800. 
2028     6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800. 
2029     6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800. 
2030     6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800. 
2031     6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800. 
2032     6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800. 
2033     6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800. 
2034     6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800. 
2035     6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800. 
2036     6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800.   6800. 

2021     6500.   6500.   6500.   6500.   5500.   5500.   5500.   5500.   6500.   6500.   6500.   6500. 
2022     8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500. 
2023     8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500. 
2024     8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500. 
2025     8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500. 
2026     8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500. 
2027     8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500. 
2028     8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500. 
2029     8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500. 
2030     8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500. 
2031     8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500. 
2032     8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500. 
2033     8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500. 
2034     8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500. 
2035     8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500. 
2036     8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500. 
   4  11               0
2021    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999. 
2022    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999. 
2023    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999. 
2024    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999. 
2025    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999. 
2026    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999. 
2027    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999. 
2028    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999. 
2029    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999. 
2030    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999. 
2031    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999. 
2032    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999. 
2033    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999. 
2034    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999. 
2035    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999. 
2036    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999. 

2021     4831.   4831.   4831.   4831.   4728.   4561.   4469.   4722.   4831.   4821.   4817.   4610. 
2022     4624.   4742.   4842.   4805.   4850.   4756.   4661.   4922.   5034.   5024.   5020.   4806. 
2023     4810.   4932.   5036.   4997.   5044.   4947.   4849.   5119.   5234.   5223.   5219.   4999. 
2024     5043.   5169.   5277.   5237.   5285.   5185.   5083.   5363.   5483.   5472.   5467.   5239. 
2025     5255.   5440.   5439.   5455.   5505.   5402.   5296.   5586.   5709.   5698.   5694.   5457.  
2026     5255.   5440.   5439.   5455.   5505.   5402.   5296.   5586.   5709.   5698.   5694.   5457. 
2027     5255.   5440.   5439.   5455.   5505.   5402.   5296.   5586.   5709.   5698.   5694.   5457. 
2028     5255.   5440.   5439.   5455.   5505.   5402.   5296.   5586.   5709.   5698.   5694.   5457. 
2029     5255.   5440.   5439.   5455.   5505.   5402.   5296.   5586.   5709.   5698.   5694.   5457. 
2030     5255.   5440.   5439.   5455.   5505.   5402.   5296.   5586.   5709.   5698.   5694.   5457. 
2031     5255.   5440.   5439.   5455.   5505.   5402.   5296.   5586.   5709.   5698.   5694.   5457. 
2032     5255.   5440.   5439.   5455.   5505.   5402.   5296.   5586.   5709.   5698.   5694.   5457. 
2033     5255.   5440.   5439.   5455.   5505.   5402.   5296.   5586.   5709.   5698.   5694.   5457. 
2034     5255.   5440.   5439.   5455.   5505.   5402.   5296.   5586.   5709.   5698.   5694.   5457. 
2035     5255.   5440.   5439.   5455.   5505.   5402.   5296.   5586.   5709.   5698.   5694.   5457. 
2036     5255.   5440.   5439.   5455.   5505.   5402.   5296.   5586.   5709.   5698.   5694.   5457.
   1   3               0
2021     3300.   3300.   3300.   3300.   2000.   3300.   3300.   3300.   3300.   3300.   3300.   3300. 
2022     4302.   4298.   4298.   4303.   4290.   4291.   4293.   4286.   4297.   4302.   4303.   4298. 
2023     4298.   4302.   4295.   4307.   4290.   4291.   4293.   4286.   4300.   6000.   6000.   6000. 
2024     6000.   6000.   6000.   6000.   6000.   6000.   6000.   6000.   6000.   6000.   6000.   6000. 
2025     6000.   6000.   6000.   7000.   7000.   7000.   7000.   7000.   7000.   7000.   7000.   7000. 
2026     6000.   6000.   6000.   7000.   7000.   7000.   7000.   7000.   7000.   7000.   7000.   7000. 
2027     7000.   7000.   7000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000. 
2028     7000.   7000.   7000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000. 
2029     7000.   7000.   7000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000. 
2030     7000.   7000.   7000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000. 
2031     7000.   7000.   7000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000. 
2032     7000.   7000.   7000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000. 
2033     7000.   7000.   7000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000. 
2034     7000.   7000.   7000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000. 
2035     7000.   7000.   7000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000. 
2036     8000.   8000.   8000.   9000.   9000.   9000.   9000.   9000.   9000.   9000.   9000.   9000. 

2021     3500.   3500.   3500.   3500.   2131.   3500.   3500.   3500.   3500.   3500.   3500.   3500. 
2022     5000.   5000.   6496.   6507.   6480.   6482.   6487.   6473.   6493.   6504.   6506.   6496. 
2023     6496.   6503.   6489.   6607.   6590.   6591.   6593.   6586.   6600.   7453.   7443.   7437. 
2024     7455.   7449.   7437.   7467.   7467.   7464.   7484.   7476.   7458.   7469.   7443.   7446. 
2025     7455.   7456.   7437.   7600.   7620.   7617.   7641.   7620.   7620.   7623.   7592.   7606. 
2026     7455.   7456.   7437.   7600.   7620.   7617.   7641.   7620.   7620.   7623.   7592.   7606. 
2027     7455.   7456.   7437.   7600.   7620.   7617.   7641.   7620.   7620.   7623.   7592.   7606. 
2028     7455.   7456.   7437.   7600.   7620.   7617.   7641.   7620.   7620.   7623.   7592.   7606. 
2029     7455.   7456.   7437.   7600.   7620.   7617.   7641.   7620.   7620.   7623.   7592.   7606. 
2030     7455.   7456.   7437.   7600.   7620.   7617.   7641.   7620.   7620.   7623.   7592.   7606. 
2031     7455.   7456.   7437.   7600.   7620.   7617.   7641.   7620.   7620.   7623.   7592.   7606. 
2032     7455.   7456.   7437.   7600.   7620.   7617.   7641.   7620.   7620.   7623.   7592.   7606. 
2033     7455.   7456.   7437.   7600.   7620.   7617.   7641.   7620.   7620.   7623.   7592.   7606. 
2034     7455.   7456.   7437.   7600.   7620.   7617.   7641.   7620.   7620.   7623.   7592.   7606. 
2035     7455.   7456.   7437.   7600.   7620.   7617.   7641.   7620.   7620.   7623.   7592.   7606. 
2036     7455.   7456.   7437.   7600.   7620.   7617.   7641.   7620.   7620.   7623.   7592.   7606. 
   1   4               0
2021     2500.   2500.   2500.   2500.   2500.   2500.   2500.   2500.   2500.   2500.   2500.   2500. 
2022     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200. 
2023     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200. 
2024     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200. 
2025     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.  
2026     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200. 
2027     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200. 
2028     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200. 
