NUS  TIPO  VALORNEW MI ANOI MF ANOF  COMENTARIO
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
  53 FCMAX     0.00  1 2025          GLOBAL I
  54 POTEF    87.05  5 2021  1 2022  JUIZ DE FORA
  54 POTEF     0.00  2 2022          JUIZ DE FORA
  55 POTEF   148.80  5 2021 12 2024  GLOBAL II
  55 POTEF     0.00  1 2025          GLOBAL II
  55 FCMAX     0.00  1 2025          GLOBAL II
  57 POTEF   168.00  5 2021 12 2024  MARACANAU I
  57 POTEF     0.00  1 2025          MARACANAU I
  57 FCMAX    98.03  5 2021 12 2024  MARACANAU I
  57 FCMAX     0.00  1 2025          MARACANAU I
  58 POTEF   223.00  5 2021 12 2024  TERMOCEARA
  58 FCMAX    98.65  5 2021 12 2024  TERMOCEARA
  58 POTEF     0.00  1 2025          TERMOCEARA
  58 FCMAX     0.00  1 2025          TERMOCEARA
  62 POTEF   385.90  5 2021 12 2023  SEROPEDICA
  62 POTEF     0.00  1 2024          SEROPEDICA
  63 POTEF   226.00  5 2021  7 2022  IBIRITE
  63 POTEF     0.00  8 2022          IBIRITE
  64 POTEF   248.57  5 2021 12 2021  CANOAS
  64 POTEF     0.00  1 2022          CANOAS
  64 FCMAX     0.00  1 2022          CANOAS
  67 POTEF   170.85  5 2021 12 2024  TERMONE
  67 POTEF     0.00  1 2025          TERMONE
  67 FCMAX     0.00  1 2025          TERMONE
  68 POTEF   350.00  5 2021 12 2023  TRES LAGOAS
  68 POTEF     0.00  1 2024          TRES LAGOAS
  69 POTEF   170.85  5 2021 12 2024  TERMOPB
  69 POTEF     0.00  1 2025          TERMOPB
  69 FCMAX     0.00  1 2025          TERMOPB
  70 POTEF   165.87  5 2021 12 2024  GERAMAR II
  70 POTEF     0.00  1 2025          GERAMAR II
  70 FCMAX     0.00  1 2025          GERAMAR II
  73 POTEF   165.87  5 2021 12 2024  GERAMAR I
  73 POTEF     0.00  1 2025          GERAMAR I
  73 FCMAX     0.00  1 2025          GERAMAR I
  83 POTEF   367.90  5 2021  9 2028  VALE DO ACU
  83 FCMAX    84.30  5 2021  9 2028  VALE DO ACU
  83 POTEF     0.00 10 2028          VALE DO ACU
  83 FCMAX     0.00 10 2028          VALE DO ACU
  86 POTEF   500.00  5 2021 12 2026  ST.CRUZ NOVA
  86 FCMAX   100.00  5 2021 12 2026  ST.CRUZ NOVA
  86 POTEF     0.00  1 2027          ST.CRUZ NOVA
  86 FCMAX     0.00  1 2027          ST.CRUZ NOVA
  90 POTEF   928.70  5 2021 12 2025  TERMOMACAE
  90 FCMAX    99.99  5 2021 12 2025  TERMOMACAE
  90 POTEF     0.00  1 2026          TERMOMACAE
  96 POTEF   532.76  5 2021  5 2024  TERMOPE
  96 GTMIN   312.01  5 2021  5 2024  TERMOPE
  96 FCMAX   100.00  5 2021  5 2024  TERMOPE
  96 POTEF     0.00  6 2024          TERMOPE
  96 GTMIN     0.00  6 2024          TERMOPE
  96 FCMAX     0.00  6 2024          TERMOPE
  97 POTEF   216.00  5 2021 12 2024  CUBATAO
  97 GTMIN    86.40  5 2021 12 2024  CUBATAO
  97 POTEF   249.90  1 2025          CUBATAO
  97 GTMIN     0.00  1 2025          CUBATAO
  97 IPTER    11.35  1 2025          CUBATAO
  97 TEIFT     8.65  1 2025          CUBATAO
  98 POTEF   200.79  5 2021 12 2027  PERNAMBU_III
  98 FCMAX    99.98  5 2021 12 2027  PERNAMBU_III
  98 POTEF     0.00  1 2028          PERNAMBU_III
  98 FCMAX     0.00  1 2028          PERNAMBU_III
 106 POTEF    16.79  5 2021          ERB CANDEIAS
 106 FCMAX    76.83  5 2021          ERB CANDEIAS
 108 POTEF    53.58  5 2021 12 2023  XAVANTES
 108 POTEF     0.00  1 2024          XAVANTES
 108 FCMAX     0.00  1 2024          XAVANTES
 109 POTEF    13.12  5 2021 12 2022  ALTOS
 109 FCMAX     0.00  5 2021          ALTOS
 109 POTEF     0.00  1 2023          ALTOS
 110 POTEF   572.10  5 2021 12 2024  N.PIRATINING
 110 FCMAX    65.51  5 2021 12 2024  N.PIRATINING
 110 POTEF     0.00  1 2025          N.PIRATINING
 110 FCMAX     0.00  1 2025          N.PIRATINING
 111 POTEF    11.48  5 2021 12 2022  ARACATI
 111 FCMAX     0.00  5 2021          ARACATI
