NUS  TIPO  VALORNEW MI ANOI MF ANOF  COMENTARIO
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 236 GTMIN   420.84 12 2032 12 2032  MARLIM AZUL
 236 GTMIN   420.84  1 2033  1 2033  MARLIM AZUL
 236 GTMIN   420.84  2 2033  2 2033  MARLIM AZUL
 236 GTMIN   420.84  3 2033  3 2033  MARLIM AZUL
 236 GTMIN   420.84  4 2033  4 2033  MARLIM AZUL
 236 GTMIN     0.00  5 2033  5 2033  MARLIM AZUL
 236 GTMIN     0.00  6 2033  6 2033  MARLIM AZUL
 236 GTMIN     0.00  7 2033  7 2033  MARLIM AZUL
 236 GTMIN     0.00  8 2033  8 2033  MARLIM AZUL
 236 GTMIN     0.00  9 2033  9 2033  MARLIM AZUL
 236 GTMIN     0.00 10 2033 10 2033  MARLIM AZUL
 236 GTMIN   420.84 11 2033 11 2033  MARLIM AZUL
 236 GTMIN   420.84 12 2033 12 2033  MARLIM AZUL
 236 GTMIN   420.84  1 2034  1 2034  MARLIM AZUL
 236 GTMIN   420.84  2 2034  2 2034  MARLIM AZUL
 236 GTMIN   420.84  3 2034  3 2034  MARLIM AZUL
 236 GTMIN   420.84  4 2034  4 2034  MARLIM AZUL
 236 GTMIN     0.00  5 2034  5 2034  MARLIM AZUL
 236 GTMIN     0.00  6 2034  6 2034  MARLIM AZUL
 236 GTMIN     0.00  7 2034  7 2034  MARLIM AZUL
 236 GTMIN     0.00  8 2034  8 2034  MARLIM AZUL
 236 GTMIN     0.00  9 2034  9 2034  MARLIM AZUL
 236 GTMIN     0.00 10 2034 10 2034  MARLIM AZUL
 236 GTMIN   420.84 11 2034 11 2034  MARLIM AZUL
 236 GTMIN   420.84 12 2034 12 2034  MARLIM AZUL
 236 GTMIN   420.84  1 2035  1 2035  MARLIM AZUL
 236 GTMIN   420.84  2 2035  2 2035  MARLIM AZUL
 236 GTMIN   420.84  3 2035  3 2035  MARLIM AZUL
 236 GTMIN   420.84  4 2035  4 2035  MARLIM AZUL
 236 GTMIN     0.00  5 2035  5 2035  MARLIM AZUL
 236 GTMIN     0.00  6 2035  6 2035  MARLIM AZUL
 236 GTMIN     0.00  7 2035  7 2035  MARLIM AZUL
 236 GTMIN     0.00  8 2035  8 2035  MARLIM AZUL
 236 GTMIN     0.00  9 2035  9 2035  MARLIM AZUL
 236 GTMIN     0.00 10 2035 10 2035  MARLIM AZUL
 236 GTMIN   420.84 11 2035 11 2035  MARLIM AZUL
 236 GTMIN   420.84 12 2035 12 2035  MARLIM AZUL
 236 GTMIN   420.84  1 2036  1 2036  MARLIM AZUL
 236 GTMIN   420.84  2 2036  2 2036  MARLIM AZUL
 236 GTMIN   420.84  3 2036  3 2036  MARLIM AZUL
 236 GTMIN   420.84  4 2036  4 2036  MARLIM AZUL
 236 GTMIN     0.00  5 2036  5 2036  MARLIM AZUL
 236 GTMIN     0.00  6 2036  6 2036  MARLIM AZUL
 236 GTMIN     0.00  7 2036  7 2036  MARLIM AZUL
 236 GTMIN     0.00  8 2036  8 2036  MARLIM AZUL
 236 GTMIN     0.00  9 2036  9 2036  MARLIM AZUL
 236 GTMIN     0.00 10 2036 10 2036  MARLIM AZUL
 236 GTMIN   420.84 11 2036 11 2036  MARLIM AZUL
 236 GTMIN   420.84 12 2036 12 2036  MARLIM AZUL
 237 POTEF    50.00  5 2023          CAMBARA
 237 GTMIN    20.00  5 2023          CAMBARA
 237 FCMAX   100.00  5 2023          CAMBARA
 238 POTEF  1672.60 11 2024          GNA P. ACU 3
 238 GTMIN  1278.58 11 2024 11 2024  GNA P. ACU 3
 238 GTMIN     0.00 12 2024 12 2024  GNA P. ACU 3
 238 GTMIN     0.00  1 2025  1 2025  GNA P. ACU 3
 238 GTMIN     0.00  2 2025  2 2025  GNA P. ACU 3
 238 GTMIN     0.00  3 2025  3 2025  GNA P. ACU 3
 238 GTMIN     0.00  4 2025  4 2025  GNA P. ACU 3
 238 GTMIN     0.00  5 2025  5 2025  GNA P. ACU 3
 238 GTMIN     0.00  6 2025  6 2025  GNA P. ACU 3
 238 GTMIN  1598.16  7 2025  7 2025  GNA P. ACU 3
 238 GTMIN  1598.16  8 2025  8 2025  GNA P. ACU 3
 238 GTMIN  1598.16  9 2025  9 2025  GNA P. ACU 3
 238 GTMIN  1598.16 10 2025 10 2025  GNA P. ACU 3
 238 GTMIN  1278.58 11 2025 11 2025  GNA P. ACU 3
 238 GTMIN     0.00 12 2025 12 2025  GNA P. ACU 3
 238 GTMIN     0.00  1 2026  1 2026  GNA P. ACU 3
 238 GTMIN     0.00  2 2026  2 2026  GNA P. ACU 3
 238 GTMIN     0.00  3 2026  3 2026  GNA P. ACU 3
 238 GTMIN     0.00  4 2026  4 2026  GNA P. ACU 3
 238 GTMIN     0.00  5 2026  5 2026  GNA P. ACU 3
 238 GTMIN     0.00  6 2026  6 2026  GNA P. ACU 3
 238 GTMIN  1598.16  7 2026  7 2026  GNA P. ACU 3
 238 GTMIN  1598.16  8 2026  8 2026  GNA P. ACU 3
 238 GTMIN  1598.16  9 2026  9 2026  GNA P. ACU 3
 238 GTMIN  1598.16 10 2026 10 2026  GNA P. ACU 3
 238 GTMIN  1278.58 11 2026 11 2026  GNA P. ACU 3
 238 GTMIN     0.00 12 2026 12 2026  GNA P. ACU 3
 238 GTMIN     0.00  1 2027  1 2027  GNA P. ACU 3
 238 GTMIN     0.00  2 2027  2 2027  GNA P. ACU 3
 238 GTMIN     0.00  3 2027  3 2027  GNA P. ACU 3
 238 GTMIN     0.00  4 2027  4 2027  GNA P. ACU 3
 238 GTMIN     0.00  5 2027  5 2027  GNA P. ACU 3
 238 GTMIN     0.00  6 2027  6 2027  GNA P. ACU 3
 238 GTMIN  1598.16  7 2027  7 2027  GNA P. ACU 3
 238 GTMIN  1598.16  8 2027  8 2027  GNA P. ACU 3
 238 GTMIN  1598.16  9 2027  9 2027  GNA P. ACU 3
 238 GTMIN  1598.16 10 2027 10 2027  GNA P. ACU 3
 238 GTMIN  1278.58 11 2027 11 2027  GNA P. ACU 3
 238 GTMIN     0.00 12 2027 12 2027  GNA P. ACU 3
 238 GTMIN     0.00  1 2028  1 2028  GNA P. ACU 3
 238 GTMIN     0.00  2 2028  2 2028  GNA P. ACU 3
 238 GTMIN     0.00  3 2028  3 2028  GNA P. ACU 3
 238 GTMIN     0.00  4 2028  4 2028  GNA P. ACU 3
 238 GTMIN     0.00  5 2028  5 2028  GNA P. ACU 3
 238 GTMIN     0.00  6 2028  6 2028  GNA P. ACU 3
 238 GTMIN  1598.16  7 2028  7 2028  GNA P. ACU 3
 238 GTMIN  1598.16  8 2028  8 2028  GNA P. ACU 3
 238 GTMIN  1598.16  9 2028  9 2028  GNA P. ACU 3
 238 GTMIN  1598.16 10 2028 10 2028  GNA P. ACU 3
 238 GTMIN  1278.58 11 2028 11 2028  GNA P. ACU 3
 238 GTMIN     0.00 12 2028 12 2028  GNA P. ACU 3
 238 GTMIN     0.00  1 2029  1 2029  GNA P. ACU 3
 238 GTMIN     0.00  2 2029  2 2029  GNA P. ACU 3
 238 GTMIN     0.00  3 2029  3 2029  GNA P. ACU 3
 238 GTMIN     0.00  4 2029  4 2029  GNA P. ACU 3
 238 GTMIN     0.00  5 2029  5 2029  GNA P. ACU 3
 238 GTMIN     0.00  6 2029  6 2029  GNA P. ACU 3
 238 GTMIN  1598.16  7 2029  7 2029  GNA P. ACU 3
 238 GTMIN  1598.16  8 2029  8 2029  GNA P. ACU 3
 238 GTMIN  1598.16  9 2029  9 2029  GNA P. ACU 3
 238 GTMIN  1598.16 10 2029 10 2029  GNA P. ACU 3
 238 GTMIN  1278.58 11 2029 11 2029  GNA P. ACU 3
 238 GTMIN     0.00 12 2029 12 2029  GNA P. ACU 3
 238 GTMIN     0.00  1 2030  1 2030  GNA P. ACU 3
 238 GTMIN     0.00  2 2030  2 2030  GNA P. ACU 3
 238 GTMIN     0.00  3 2030  3 2030  GNA P. ACU 3
 238 GTMIN     0.00  4 2030  4 2030  GNA P. ACU 3
 238 GTMIN     0.00  5 2030  5 2030  GNA P. ACU 3
 238 GTMIN     0.00  6 2030  6 2030  GNA P. ACU 3
 238 GTMIN  1598.16  7 2030  7 2030  GNA P. ACU 3
 238 GTMIN  1598.16  8 2030  8 2030  GNA P. ACU 3
 238 GTMIN  1598.16  9 2030  9 2030  GNA P. ACU 3
 238 GTMIN  1598.16 10 2030 10 2030  GNA P. ACU 3
 238 GTMIN  1278.58 11 2030 11 2030  GNA P. ACU 3
 238 GTMIN     0.00 12 2030 12 2030  GNA P. ACU 3
 238 GTMIN     0.00  1 2031  1 2031  GNA P. ACU 3
 238 GTMIN     0.00  2 2031  2 2031  GNA P. ACU 3
 238 GTMIN     0.00  3 2031  3 2031  GNA P. ACU 3
 238 GTMIN     0.00  4 2031  4 2031  GNA P. ACU 3
 238 GTMIN     0.00  5 2031  5 2031  GNA P. ACU 3
 238 GTMIN     0.00  6 2031  6 2031  GNA P. ACU 3
 238 GTMIN  1598.16  7 2031  7 2031  GNA P. ACU 3
 238 GTMIN  1598.16  8 2031  8 2031  GNA P. ACU 3
 238 GTMIN  1598.16  9 2031  9 2031  GNA P. ACU 3
 238 GTMIN  1598.16 10 2031 10 2031  GNA P. ACU 3
 238 GTMIN  1278.58 11 2031 11 2031  GNA P. ACU 3
 238 GTMIN     0.00 12 2031 12 2031  GNA P. ACU 3
 238 GTMIN     0.00  1 2032  1 2032  GNA P. ACU 3
 238 GTMIN     0.00  2 2032  2 2032  GNA P. ACU 3
 238 GTMIN     0.00  3 2032  3 2032  GNA P. ACU 3
 238 GTMIN     0.00  4 2032  4 2032  GNA P. ACU 3
 238 GTMIN     0.00  5 2032  5 2032  GNA P. ACU 3
 238 GTMIN     0.00  6 2032  6 2032  GNA P. ACU 3
 238 GTMIN  1598.16  7 2032  7 2032  GNA P. ACU 3
 238 GTMIN  1598.16  8 2032  8 2032  GNA P. ACU 3
 238 GTMIN  1598.16  9 2032  9 2032  GNA P. ACU 3
 238 GTMIN  1598.16 10 2032 10 2032  GNA P. ACU 3
 238 GTMIN  1278.58 11 2032 11 2032  GNA P. ACU 3
 238 GTMIN     0.00 12 2032 12 2032  GNA P. ACU 3
 238 GTMIN     0.00  1 2033  1 2033  GNA P. ACU 3
 238 GTMIN     0.00  2 2033  2 2033  GNA P. ACU 3
 238 GTMIN     0.00  3 2033  3 2033  GNA P. ACU 3
 238 GTMIN     0.00  4 2033  4 2033  GNA P. ACU 3
 238 GTMIN     0.00  5 2033  5 2033  GNA P. ACU 3
 238 GTMIN     0.00  6 2033  6 2033  GNA P. ACU 3
 238 GTMIN  1598.16  7 2033  7 2033  GNA P. ACU 3
 238 GTMIN  1598.16  8 2033  8 2033  GNA P. ACU 3
 238 GTMIN  1598.16  9 2033  9 2033  GNA P. ACU 3
 238 GTMIN  1598.16 10 2033 10 2033  GNA P. ACU 3
 238 GTMIN  1278.58 11 2033 11 2033  GNA P. ACU 3
 238 GTMIN     0.00 12 2033 12 2033  GNA P. ACU 3
 238 GTMIN     0.00  1 2034  1 2034  GNA P. ACU 3
 238 GTMIN     0.00  2 2034  2 2034  GNA P. ACU 3
 238 GTMIN     0.00  3 2034  3 2034  GNA P. ACU 3
 238 GTMIN     0.00  4 2034  4 2034  GNA P. ACU 3
 238 GTMIN     0.00  5 2034  5 2034  GNA P. ACU 3
 238 GTMIN     0.00  6 2034  6 2034  GNA P. ACU 3
 238 GTMIN  1598.16  7 2034  7 2034  GNA P. ACU 3
 238 GTMIN  1598.16  8 2034  8 2034  GNA P. ACU 3
 238 GTMIN  1598.16  9 2034  9 2034  GNA P. ACU 3
 238 GTMIN  1598.16 10 2034 10 2034  GNA P. ACU 3
 238 GTMIN  1278.58 11 2034 11 2034  GNA P. ACU 3
 238 GTMIN     0.00 12 2034 12 2034  GNA P. ACU 3
 238 GTMIN     0.00  1 2035  1 2035  GNA P. ACU 3
 238 GTMIN     0.00  2 2035  2 2035  GNA P. ACU 3
 238 GTMIN     0.00  3 2035  3 2035  GNA P. ACU 3
 238 GTMIN     0.00  4 2035  4 2035  GNA P. ACU 3
 238 GTMIN     0.00  5 2035  5 2035  GNA P. ACU 3
 238 GTMIN     0.00  6 2035  6 2035  GNA P. ACU 3
 238 GTMIN  1278.58  7 2035  7 2035  GNA P. ACU 3
 238 GTMIN  1278.58  8 2035  8 2035  GNA P. ACU 3
 238 GTMIN  1278.58  9 2035  9 2035  GNA P. ACU 3
 238 GTMIN  1278.58 10 2035 10 2035  GNA P. ACU 3
 238 GTMIN  1278.58 11 2035 11 2035  GNA P. ACU 3
 238 GTMIN     0.00 12 2035 12 2035  GNA P. ACU 3
 238 GTMIN     0.00  1 2036  1 2036  GNA P. ACU 3
 238 GTMIN     0.00  2 2036  2 2036  GNA P. ACU 3
 238 GTMIN     0.00  3 2036  3 2036  GNA P. ACU 3
 238 GTMIN     0.00  4 2036  4 2036  GNA P. ACU 3
 238 GTMIN     0.00  5 2036  5 2036  GNA P. ACU 3
 238 GTMIN     0.00  6 2036  6 2036  GNA P. ACU 3
 238 GTMIN  1278.58  7 2036  7 2036  GNA P. ACU 3
 238 GTMIN  1278.58  8 2036  8 2036  GNA P. ACU 3
 238 GTMIN  1278.58  9 2036  9 2036  GNA P. ACU 3
 238 GTMIN  1278.58 10 2036 10 2036  GNA P. ACU 3
 238 GTMIN  1278.58 11 2036 11 2036  GNA P. ACU 3
 238 GTMIN     0.00 12 2036 12 2036  GNA P. ACU 3
 239 POTEF   385.75  1 2024          PARNAIBA V
 421 POTEF     1.10  5 2021 12 2022  MARAN V L22
 421 POTEF     0.00  1 2023          MARAN V L22
 422 POTEF   336.50  5 2021 12 2022  MARAN V L7
 422 POTEF     0.00  1 2023          MARAN V L7
 436 POTEF     1.12  5 2021 12 2022  MARAN IV L22
 436 POTEF     0.00  1 2023          MARAN IV L22
 437 POTEF   336.48  5 2021 12 2022  MARAN IV L7
 437 POTEF     0.00  1 2023          MARAN IV L7
 446 POTEF    26.96  5 2021 12 2022  N.VEN 2 L22
 446 POTEF     0.00  1 2023          N.VEN 2 L22
 447 POTEF   151.25  5 2021 12 2022  N.VEN 2 L7
 447 POTEF     0.00  1 2023          N.VEN 2 L7
 240 POTEF   604.52  8 2025          NT BARCARENA
 240 GTMIN   580.83  8 2025 12 2025  NT BARCARENA
 240 GTMIN     0.00  1 2026  6 2026  NT BARCARENA
 240 GTMIN   580.83  7 2026 12 2026  NT BARCARENA
 240 GTMIN     0.00  1 2027  6 2027  NT BARCARENA
 240 GTMIN   580.83  7 2027 12 2027  NT BARCARENA
 240 GTMIN     0.00  1 2028  6 2028  NT BARCARENA
 240 GTMIN   580.83  7 2028 12 2028  NT BARCARENA
 240 GTMIN     0.00  1 2029  6 2029  NT BARCARENA
 240 GTMIN   580.83  7 2029 12 2029  NT BARCARENA
 240 GTMIN     0.00  1 2030  6 2030  NT BARCARENA
 240 GTMIN   580.83  7 2030 12 2030  NT BARCARENA
 240 GTMIN     0.00  1 2031  6 2031  NT BARCARENA
 240 GTMIN   580.83  7 2031 12 2031  NT BARCARENA
 240 GTMIN     0.00  1 2032  6 2032  NT BARCARENA
 240 GTMIN   580.83  7 2032 12 2032  NT BARCARENA
 240 GTMIN     0.00  1 2033  6 2033  NT BARCARENA
 240 GTMIN   580.83  7 2033 12 2033  NT BARCARENA
 240 GTMIN     0.00  1 2034  6 2034  NT BARCARENA
 240 GTMIN   580.83  7 2034 12 2034  NT BARCARENA
 240 GTMIN     0.00  1 2035  6 2035  NT BARCARENA
 240 GTMIN   580.83  7 2035 12 2035  NT BARCARENA
 240 GTMIN     0.00  1 2036  6 2036  NT BARCARENA
 240 GTMIN   580.83  7 2036 12 2036  NT BARCARENA
 241 POTEF    37.36  1 2025          PROSPERID II
 460 POTEF     9.39  5 2022 12 2025  B. BONITA I
 460 FCMAX   100.00  5 2022 12 2025  B. BONITA I
 460 GTMIN     3.70  5 2022 12 2025  B. BONITA I
 460 POTEF     0.00  1 2026          B. BONITA I
 460 GTMIN     0.00  1 2026          B. BONITA I 
 462 POTEF   240.00  5 2022 12 2025  LOR. MELO
 462 FCMAX   100.00  5 2022 12 2025  LOR. MELO
 462 GTMIN    34.57  5 2022 12 2025  LOR. MELO
 462 POTEF     0.00  1 2026          LOR. MELO
 462 GTMIN     0.00  1 2026          LOR. MELO
 463 POTEF    37.48  5 2022 12 2025  VIANA 1
 463 FCMAX   100.00  5 2022 12 2025  VIANA 1
 463 GTMIN    35.99  5 2022 12 2025  VIANA 1
 463 POTEF     0.00  1 2026          VIANA 1
 463 GTMIN     0.00  1 2026          VIANA 1
 464 POTEF    15.95  5 2022 12 2025  PAULINIA
 464 FCMAX   100.00  5 2022 12 2025  PAULINIA
 464 GTMIN    15.74  5 2022 12 2025  PAULINIA
 464 POTEF     0.00  1 2026          PAULINIA
 464 GTMIN     0.00  1 2026          PAULINIA
 465 POTEF    56.00  5 2022 12 2025  EDLUX X
 465 FCMAX   100.00  5 2022 12 2025  EDLUX X
 465 GTMIN    53.23  5 2022 12 2025  EDLUX X
 465 POTEF     0.00  1 2026          EDLUX X
 465 GTMIN     0.00  1 2026          EDLUX X
 466 POTEF    74.96  5 2022 12 2025  POVOCACAO 1
 466 FCMAX   100.00  5 2022 12 2025  POVOCACAO 1
 466 GTMIN    71.99  5 2022 12 2025  POVOCACAO 1
 466 POTEF     0.00  1 2026          POVOCACAO 1
 466 GTMIN     0.00  1 2026          POVOCACAO 1
 467 POTEF   100.20  5 2022 12 2025  RE TG 100
 467 FCMAX    90.00  5 2022 12 2025  RE TG 100
 467 POTEF     0.00  1 2026          RE TG 100
 467 GTMIN    78.00  5 2022 11 2022  RE TG 100
 467 GTMIN    26.00 12 2022  2 2023  RE TG 100
 467 GTMIN    78.00  3 2023 11 2023  RE TG 100
 467 GTMIN    26.00 12 2023  2 2024  RE TG 100
 467 GTMIN    78.00  3 2024 11 2024  RE TG 100
 467 GTMIN    26.00 12 2024  2 2025  RE TG 100
 467 GTMIN    78.00  3 2025 11 2025  RE TG 100
 467 GTMIN    26.00 12 2025 12 2025  RE TG 100
 467 GTMIN     0.00  1 2026          RE TG 100
 468 POTEF   255.00  5 2022 12 2025  Karkey 13
 468 FCMAX   100.00  5 2022 12 2025  Karkey 13
 468 GTMIN    48.98  5 2022 12 2025  Karkey 13
 468 POTEF     0.00  1 2026          Karkey 13
 468 GTMIN     0.00  1 2026          Karkey 13
 469 POTEF   115.00  5 2022 12 2025  Karkey 19
 469 FCMAX   100.00  5 2022 12 2025  Karkey 19
 469 POTEF     0.00  1 2026          Karkey 19
 469 GTMIN    11.04  5 2022  5 2022  Karkey 19
 469 GTMIN   110.43  6 2022 10 2022  Karkey 19
 469 GTMIN    11.04 11 2022  5 2023  Karkey 19
 469 GTMIN   110.43  6 2023 10 2023  Karkey 19
 469 GTMIN    11.04 11 2023  5 2024  Karkey 19
 469 GTMIN   110.43  6 2024 10 2024  Karkey 19
 469 GTMIN    11.04 11 2024  5 2025  Karkey 19
 469 GTMIN   110.43  6 2025 10 2025  Karkey 19
 469 GTMIN    11.04 11 2025 12 2025  Karkey 19
 469 GTMIN     0.00  1 2026          Karkey 19
 470 POTEF   115.00  5 2022 12 2025  PORSUD I
 470 FCMAX   100.00  5 2022 12 2025  PORSUD I
 470 POTEF     0.00  1 2026          PORSUD I
 470 GTMIN   101.14  7 2022  9 2022  PORSUD I
 470 GTMIN     0.00 10 2022  6 2023  PORSUD I
 470 GTMIN   101.14  7 2023  9 2023  PORSUD I
 470 GTMIN     0.00 10 2023  6 2024  PORSUD I
 470 GTMIN   101.14  7 2024  9 2024  PORSUD I
 470 GTMIN     0.00 10 2024  6 2025  PORSUD I
 470 GTMIN   101.14  7 2025  9 2025  PORSUD I
 470 GTMIN     0.00 10 2025          PORSUD I
 471 POTEF    75.00  5 2022 12 2025  PORSUD II
 471 FCMAX   100.00  5 2022 12 2025  PORSUD II
 471 POTEF     0.00  1 2026          PORSUD II
 471 GTMIN    66.87  7 2022  9 2022  PORSUD II
 471 GTMIN     0.00 10 2022  6 2023  PORSUD II
 471 GTMIN    66.87  7 2023  9 2023  PORSUD II
 471 GTMIN     0.00 10 2023  6 2024  PORSUD II
 471 GTMIN    66.87  7 2024  9 2024  PORSUD II
 471 GTMIN     0.00 10 2024  6 2025  PORSUD II
 471 GTMIN    66.87  7 2025  9 2025  PORSUD II
 471 GTMIN     0.00 10 2025          PORSUD II
 472 POTEF   112.90  5 2022 12 2025  EPP II
 472 FCMAX   100.00  5 2022 12 2025  EPP II
 472 GTMIN   106.88  5 2022 12 2025  EPP II
 472 POTEF     0.00  1 2026          EPP II
 472 GTMIN     0.00  1 2026          EPP II
 473 POTEF    62.01  5 2022 12 2025  EPP IV
 473 FCMAX   100.00  5 2022 12 2025  EPP IV
 473 GTMIN    58.71  5 2022 12 2025  EPP IV
 473 POTEF     0.00  1 2026          EPP IV
 473 GTMIN     0.00  1 2026          EPP IV
 474 POTEF   112.90  5 2022 12 2025  RJ I
 474 FCMAX   100.00  5 2022 12 2025  RJ I
 474 GTMIN   106.88  5 2022 12 2025  RJ I
 474 POTEF     0.00  1 2026          RJ I
 474 GTMIN     0.00  1 2026          RJ I
 334 POTEF   144.12  9 2021  9 2021  W. ARJONA
 334 POTEF   177.12 10 2021 12 2021  W. ARJONA
 334 FCMAX     0.00  9 2021          W. ARJONA
 334 POTEF     0.00  1 2022          W. ARJONA
 500 POTEF  1000.00  1 2031          Nuclear
 500 GTMIN   911.12  1 2031        
 511 POTEF   527.40  1 2027 12 2027  GNCS SE FLEX
 511 POTEF   582.74  1 2028 12 2028
 511 POTEF   756.15  1 2029 12 2029
 511 POTEF  2209.63  1 2030 12 2030
 511 POTEF  2354.54  1 2031 12 2031
 511 POTEF  4390.98  1 2032 12 2032
 511 POTEF  6588.56  1 2033 12 2033
 511 POTEF  8191.61  1 2034 12 2034
 511 POTEF  9999.00  1 2035        
 512 POTEF  1275.51  1 2035 12 2035
 512 POTEF  4521.31  1 2036        
 513 POTEF  2500.00  1 2028 12 2028  GNNAC SE 70
 513 GTMIN  1663.59  1 2028 12 2028
 513 POTEF  3500.00  1 2029 12 2029
 513 GTMIN  2329.03  1 2029 12 2029
 513 POTEF  4500.00  1 2030        
 513 GTMIN  2994.47  1 2030        
 517 POTEF    67.35  1 2036          GNL S FLEX
 521 POTEF  6282.07  1 2026 12 2028  GNCS S FLEX
 521 POTEF  6641.23  1 2029 12 2029
 521 POTEF  6710.84  1 2030 12 2030
 521 POTEF  7573.37  1 2031 12 2032
 521 POTEF  8227.36  1 2033 12 2033
 521 POTEF  8913.70  1 2034 12 2034
 521 POTEF  9444.92  1 2035        
 531 POTEF   191.98  1 2031 12 2031  GNCS NE FLEX
 531 POTEF   922.11  1 2032 12 2033
 531 POTEF  2168.22  1 2034 12 2034
 531 POTEF  2471.65  1 2035 12 2035
 531 POTEF  3060.63  1 2036        
 533 POTEF  1000.00  1 2027          GNNAC NE 70
 533 GTMIN   665.44  1 2027        
 541 POTEF   181.20  1 2035 12 2035  GNCS N FLEX
 541 POTEF   212.84  1 2036        
 543 POTEF  1000.00  1 2026 12 2026  GNNAC N 70
 543 GTMIN   665.44  1 2026 12 2026
 543 POTEF  2000.00  1 2027 12 2027
 543 GTMIN  1330.87  1 2027 12 2027
 543 POTEF  2500.00  1 2028        
 543 GTMIN  1663.59  1 2028        
 547 POTEF    35.00  1 2032 12 2032  CAVACO
 547 GTMIN     9.48  1 2032 12 2032
 547 POTEF    70.00  1 2033 12 2033
 547 GTMIN    18.95  1 2033 12 2033
 547 POTEF   105.00  1 2034 12 2034
 547 GTMIN    28.43  1 2034 12 2034
 547 POTEF   140.00  1 2035 12 2035
 547 GTMIN    37.90  1 2035 12 2035
 547 POTEF   175.00  1 2036        
 547 GTMIN    47.38  1 2036        
 548 POTEF   350.00  1 2028 12 2028  CARVAO NAC
 548 GTMIN    94.76  1 2028 12 2028
 548 POTEF   700.00  1 2029 12 2029
 548 GTMIN   189.53  1 2029 12 2029
 548 POTEF  1050.00  1 2030 12 2030
 548 GTMIN   284.29  1 2030 12 2030
 548 POTEF  1400.00  1 2031 12 2031
 548 GTMIN   379.05  1 2031 12 2031
 548 POTEF  1750.00  1 2032 12 2032
 548 GTMIN   473.81  1 2032 12 2032
 548 POTEF  2100.00  1 2033 12 2033
 548 GTMIN   568.57  1 2033 12 2033
 548 POTEF  2450.00  1 2034 12 2034
 548 GTMIN   663.34  1 2034 12 2034
 548 POTEF  2800.00  1 2035 12 2035
 548 GTMIN   758.10  1 2035 12 2035
 548 POTEF  3150.00  1 2036        
 548 GTMIN   852.86  1 2036        
 550 POTEF   383.83  1 2029          RD A N
 551 POTEF   311.51  1 2028 12 2028  RD A SE
 551 POTEF   469.41  1 2029        
 552 POTEF     5.78  1 2029          RD A NE
 553 POTEF    44.08  1 2028          RD B N
 554 POTEF    41.63  1 2027 12 2027  RD B NE
 554 POTEF   186.05  1 2028        
 555 POTEF    95.49  1 2025 12 2025  RD B SE
 555 POTEF   295.49  1 2026 12 2026
 555 POTEF   653.86  1 2027        
 556 POTEF   139.96  1 2024          RD B S
 557 POTEF     6.52  1 2030          RD C N
 558 POTEF    21.69  1 2030          RD C NE
 559 POTEF    52.49  1 2029 12 2029  RD C SE
 559 POTEF   235.62  1 2030        
 561 POTEF   350.00  7 2024          CAP MAN
 564 POTEF  1036.00  1 2025          RETROFIT1
 565 POTEF   204.00  1 2027          RETROFIT2
 568 POTEF   248.57  1 2022          RETROFIT3
 569 POTEF    87.05  1 2024          RETROFIT4
 570 POTEF   226.00  7 2024          CAP AC RO
 571 POTEF   326.60  7 2024          RETROFIT5
 572 POTEF   826.78  7 2024          CAP MAN
 573 POTEF   532.76  7 2024          RETROFIT6
 575 POTEF   500.00  1 2027          RETROFIT7
 576 POTEF   166.00  7 2022          RETROFIT8
 660 POTEF    60.04  1 2024 12 2024  RD C S
 660 POTEF   164.55  1 2025        
